Net Metrekare,Brüt Metrekare,Oda Sayısı,Binanın Yaşı,Bulunduğu Kat,Binanın Kat Sayısı,Isıtma Tipi,Kullanım Durumu,Tapu Durumu,Site İçerisinde,Banyo Sayısı,Balkon Durumu,Fiyat Durumu,Price,Eşya Durumu,Müstakil mi,Dublex mi,Çatı katı mı,İlçe,Mahalle
80,85,3.0,0,2,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,30000.0,0,0,0,0, Avcılar,Merkez Mahallesi
65,127,3.0,25,0,7.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,15000.0,0,0,0,0, Şişli,Eskişehir Mahallesi
120,140,4.0,7,3,3.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Sancaktepe,İnönü Mahallesi
40,50,2.0,7,4,4.0,Merkezi Doğalgaz,Boş,Kat İrtifakı,Hayır,1,0,Genel Fiyat,25000.0,0,0,0,0, Ataşehir,İnönü Mahallesi
70,90,3.0,25,0,4.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,26000.0,1,0,0,0, Tuzla,Postane Mahallesi
90,100,3.0,7,8,10.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,25500.0,0,0,0,0, Pendik,Velibaba Mahallesi
80,90,3.0,13,0,5.0,Kombi Doğalgaz,Boş,Kat Mülkiyeti,Hayır,1,0,Genel Fiyat,18000.0,0,0,0,0, Sultangazi,75. Yıl Mahallesi
110,130,3.0,4,2,7.0,Kombi Doğalgaz,Boş,Kat İrtifakı,Evet,2,0,Genel Fiyat,30000.0,0,0,0,0, Silivri,Yeni Mahallesi
70,86,3.0,7,8,11.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,1,0,Genel Fiyat,24500.0,0,0,0,0, Büyükçekmece,Pınartepe Mahallesi
90,102,3.0,7,18,27.0,Merkezi (Pay Ölçer),Boş,Kat Mülkiyeti,Evet,2,0,Genel Fiyat,20000.0,1,0,0,0, Esenyurt,Yeşilkent Mahallesi
